0,1,2,3,4,5,6,7
10624370,完整教材錄影,教材下載,完整教材錄影,課程相關疑難釋疑含相關規定,完整教材錄影,NA,NA
10624370,完整教材錄影,教材下載,NA,NA,NA,NA,NA
10624370,教材下載,NA,NA,NA,NA,NA,NA
10624370,教材下載,完整投影片,教材下載,NA,NA,NA,NA
10624370,教材下載,NA,NA,NA,NA,NA,NA
10624370,教材下載,完整教材錄影,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10624370,完整教材錄影,NA,NA,NA,NA,NA,NA
10627101,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627101,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627101,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627101,完整教材錄影,NA,NA,NA,NA,NA,NA
10627101,完整教材錄影,重點整理,完整教材錄影,完整投影片,NA,NA,NA
10627101,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627101,完整教材錄影,完整投影片,完整教材錄影,完整投影片,NA,NA,NA
10627101,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627101,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627101,完整投影片,完整教材錄影,教材下載,完整教材錄影,NA,NA,NA
10627101,完整教材錄影,NA,NA,NA,NA,NA,NA
10627102,重點整理,NA,NA,NA,NA,NA,NA
10627102,重點整理,完整教材錄影,NA,NA,NA,NA,NA
10627103,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627103,完整投影片,測驗,討論,相關規定,NA,NA,NA
10627103,完整教材錄影,NA,NA,NA,NA,NA,NA
10627103,完整教材錄影,完整投影片,完整教材錄影,完整投影片,NA,NA,NA
10627103,完整投影片,NA,NA,NA,NA,NA,NA
10627105,完整教材錄影,討論,完整教材錄影,重點整理,完整教材錄影,NA,NA
10627105,完整教材錄影,NA,NA,NA,NA,NA,NA
